batch,day,idturk,treatment,initialendowment,initialendowmentupdated,pointssaving1,pointssaving2,pointssaving3,pointssaving4,borrowdebt1,borrowdebt2,borrowsaving5,borrowsaving6,pointsthisdecision,additionalpointssaving1,additionalpointssaving2,additionalpointssaving3,additionalpointssaving4,points_ia_a1,points_ia_a2,points_ia_a3,points_ia_a4,points_aa_a1,points_aa_a2,points_aa_a3,points_aa_a4,balance_ia_a1,balance_ia_a2,balance_ia_a3,balance_ia_a4,balance_aa_a1,balance_aa_a2,balance_aa_a3,balance_aa_a4,balance_borrow_a1,balance_borrow_a2,lottery1choice,lottery2choice,time1choice,time2choice,oneshotcontrol_s1,oneshotcontrol_s2,oneshotcontrol_s3,oneshotcontrol_s4,oneshotdebt_s1,oneshotdebt_s2,oneshotdebt_d1,oneshotdebt_d2,oneshothigh_s1,oneshothigh_s2,oneshothigh_d1,oneshothigh_d2,end_reasoning,end_debtimportance,end_balancesimportance,end_rateimportance,end_hindsight,demo_sex,demo_age,demo_state,demo_race,demo_educ,demo_collegeplus,demo_studentloan,demo_holddebt,demo_covid,errorbdm1,errorbdm2,errorbdm3,errordebtintro1,errordebtintro2,errordebtintro3,errordebtintro4,errordebtintro5,errordebtendowment1,errordebtendowment2,errordebtendowment3,errordebtendowment4,errordebtendowment5,errordebtendowment6,errordebtendowment7,errordebtendowment8,errordebtpayment1,errordebtpayment2,errordebtpayment3,errorend1,errorend2,error_count,error_initial,error_main,error_end,error_main_total,error_count_total,borrowcap1bal,borrowcap2bal,borrowcap1percleft,borrowcap2percleft,gap,controlsaving1balanceupdated,controlsaving2balanceupdated,controlsaving3balanceupdated,controlsaving4balanceupdated,debtsaving1balanceupdated,debtsaving2balanceupdated,debtsaving3balanceupdated,debtsaving4balanceupdated,controlsaving1balanceupdated2,controlsaving2balanceupdated2,controlsaving3balanceupdated2,controlsaving4balanceupdated2,debtsaving1balanceupdated2,debtsaving2balanceupdated2,debtsaving3balanceupdated2,debtsaving4balanceupdated2,netbalance,netreturn,totalpoints,finalpayment,finalpaymentend,participantid,lotterychoice,timechoice,durationinseconds,selectioncontroltreatment,selectiondebttreatment,controlsaving5balanceupdated,controlsaving6balanceupdated,debtdebt1balanceupdated,debtdebt2balanceupdated,q1697,debtsaving3balance,debtsaving4balance,order_oneshotcontrol,order_oneshotdebt,order_oneshothighdebt,io,perco_orig,perco_adtl,perco_os_c,perco_os_d,perco_os_h,ind_optimal_ia,ind_optimal_ap,ind_optimal_ia_d1_t,ind_optimal_ia_d4_t,ind_optimal_ia_d1,ind_optimal_ia_d4,ind_optimal_ia_all,ind_optimal_ap_all,os_optimal_c_t,os_optimal_d_t,os_optimal_h_t,os_optimal_c,os_optimal_d,os_optimal_h,instructions_confused,borrow_max_a1,borrow_max_a2,borrow_max_both,borrow_max_a1_d1,borrow_max_a2_d1,borrow_max_both_d1,borrow_max_a1_d4,borrow_max_a2_d4,borrow_max_both_d4,optimal_s1,optimal_s1_d1_t,optimal_s1_d1,optimal_s1_d4_t,optimal_s1_d4,borrow_d1_t,borrow_d1,total_pointssaving1,total_pointssaving2,total_pointssaving3,total_pointssaving4,total_borrowdebt1,total_borrowdebt2,total_borrowsaving5,total_borrowsaving6,total_points_allocated,perc_total_pointssaving1,perc_total_pointssaving2,perc_total_pointssaving3,perc_total_pointssaving4,total_perc_points_allocated,returns
4,Day 1,A11SVF9ZNHO1EW,B Control,500,1300,300,200,700,100,,,300,500,100,100,0,0,0,300,200,700,100,100,0,0,0,1400,900,700,100,1500,900,700,100,300,500,280,0.6,10,0.75,,,,,,,,,,,,,I tried to distribute the funds no so much evenly but enough that the higher interest rates had the mode funds. Always bet on a sure thing. ,Very important,Extremely important,Very important,"Next time, I am going to deposit more on my higher interest rates to see the return. ",Male,38,New Jersey,White,College graduate with Bachelor's Degree (4 year),College or more,Yes,Yes,A lot,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,4,0,4,0,8,8,600,1000,0.66666669,0.66666669,,1400,900,700,100,,,1600,1600,1500,900,700,100,,,1600,1600,,,,,,atlanta51898,,,6241,1,0,600,1000,,,It took a bit of rereading everything but I understood finally.,900,1500,,,,1300,0.23076923,1,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2700,728,2300,764,0,0,850,1475,6492,0.41589648,0.11213802,0.3542822,0.1176833,1,640
4,Day 2,A11SVF9ZNHO1EW,B Control,1140,2040,800,200,600,440,,,300,600,100,60,15,20,5,800,200,600,440,60,15,20,5,2300,1100,1300,540,2360,1115,1320,545,600,1100,400,0.75,375,0.8,,,,,,,,,,,,,I tried to distribute the funds no so much evenly but enough that the higher interest rates had the mode funds. Always bet on a sure thing. ,Very important,Extremely important,Very important,"Next time, I am going to deposit more on my higher interest rates to see the return. ",Male,38,New Jersey,White,College graduate with Bachelor's Degree (4 year),College or more,Yes,Yes,A lot,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,2,0,2,0,8,8,300,400,0.33333334,0.26666668,,2300,1100,1300,540,,,,,2360,1115,1320,545,,,,,,,,,,atlanta51898,,,1294,1,0,300,400,,,,,,,,,2040,0.39215687,0.60000002,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2700,728,2300,764,0,0,850,1475,6492,0.41589648,0.11213802,0.3542822,0.1176833,1,874
4,Day 3,A11SVF9ZNHO1EW,B Control,1374,1924,900,200,700,124,,,200,350,100,50,10,30,10,900,200,700,124,50,10,30,10,3260,1315,2020,669,3310,1325,2050,679,800,1450,425,0.85,410,0.8,,,,,,,,,,,,,I tried to distribute the funds no so much evenly but enough that the higher interest rates had the mode funds. Always bet on a sure thing. ,Very important,Extremely important,Very important,"Next time, I am going to deposit more on my higher interest rates to see the return. ",Male,38,New Jersey,White,College graduate with Bachelor's Degree (4 year),College or more,Yes,Yes,A lot,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,2,0,2,0,8,8,100,50,0.11111111,0.033333335,,3260,1315,2020,669,,,,,3310,1325,2050,679,,,,,,,,,,atlanta51898,,,955,1,0,100,50,,,,,,,,,1924,0.46777546,0.5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2700,728,2300,764,0,0,850,1475,6492,0.41589648,0.11213802,0.3542822,0.1176833,1,1153
4,Day 4,A11SVF9ZNHO1EW,B Control,1153,1228,700,128,300,100,,,50,25,366,200,40,100,26,700,128,300,100,200,40,100,26,4010,1453,2350,779,4210,1493,2450,805,850,1475,230,,,,600,150,200,50,100,100,600,200,50,50,600,300,I tried to distribute the funds no so much evenly but enough that the higher interest rates had the mode funds. Always bet on a sure thing. ,Very important,Extremely important,Very important,"Next time, I am going to deposit more on my higher interest rates to see the return. ",Male,38,New Jersey,White,College graduate with Bachelor's Degree (4 year),College or more,Yes,Yes,A lot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,50,25,0.055555556,0.016666668,,4010,1453,2350,779,,,,,4210,1493,2450,805,,,,,9033,1408,10441,20.88,4.42,atlanta51898,,,9942,1,0,50,25,,,,,,3,1,2,1228,0.5700326,0.54644811,0.60000002,0.1,0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2700,728,2300,764,0,0,850,1475,6492,0.41589648,0.11213802,0.3542822,0.1176833,1,1408
8,Day 1,A13OOAT2ORKH6V,B Control,500,2900,2900,0,0,0,,,900,1500,100,100,0,0,0,2900,0,0,0,100,0,0,0,4000,700,0,0,4100,700,0,0,900,1500,250,1,500,1,,,,,,,,,,,,,"I felt that if I divided my points between fewer accounts I would generate more points than if I had deposited my points into many accounts. As for the points now or points later portion of the study, I found more success picking the choice that guaranteed me points. I didn't want to leave any points on the table and take any chances.",Extremely important,Extremely important,Extremely important,"During the points now or points later portion of the study I would have made the decision to pick guaranteed points or money much earlier. I feel my earnings would look a bit different, but not by much.",Male,34,New York,Hispanic,College graduate with Bachelor's Degree (4 year),College or more,No,Yes,A great deal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,4000,700,0,0,,,900,1500,4100,700,0,0,,,900,1500,,,,,,losangeles56827,,,3205,1,0,0,0,,,"I didn't find the instructions confusing. The experiment result did confuse me a bit, though.",900,1500,,,,2900,1,1,,,,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,6704,0,0,0,0,0,900,1500,6704,1,0,0,0,1,890
8,Day 2,A13OOAT2ORKH6V,B Control,890,890,890,0,0,0,,,0,0,100,100,0,0,0,890,0,0,0,100,0,0,0,4990,700,0,0,5090,700,0,0,900,1500,500,1,500,1,,,,,,,,,,,,,"I felt that if I divided my points between fewer accounts I would generate more points than if I had deposited my points into many accounts. As for the points now or points later portion of the study, I found more success picking the choice that guaranteed me points. I didn't want to leave any points on the table and take any chances.",Extremely important,Extremely important,Extremely important,"During the points now or points later portion of the study I would have made the decision to pick guaranteed points or money much earlier. I feel my earnings would look a bit different, but not by much.",Male,34,New York,Hispanic,College graduate with Bachelor's Degree (4 year),College or more,No,Yes,A great deal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,4990,700,0,0,,,,,5090,700,0,0,,,,,,,,,,losangeles56827,,,1192,1,0,0,0,,,,,,,,,890,1,1,,,,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,6704,0,0,0,0,0,900,1500,6704,1,0,0,0,1,1088
8,Day 3,A13OOAT2ORKH6V,B Control,1088,1088,1088,0,0,0,,,0,0,100,100,0,0,0,1088,0,0,0,100,0,0,0,6178,700,0,0,6278,700,0,0,900,1500,1,0.01,500,1,,,,,,,,,,,,,"I felt that if I divided my points between fewer accounts I would generate more points than if I had deposited my points into many accounts. As for the points now or points later portion of the study, I found more success picking the choice that guaranteed me points. I didn't want to leave any points on the table and take any chances.",Extremely important,Extremely important,Extremely important,"During the points now or points later portion of the study I would have made the decision to pick guaranteed points or money much earlier. I feel my earnings would look a bit different, but not by much.",Male,34,New York,Hispanic,College graduate with Bachelor's Degree (4 year),College or more,No,Yes,A great deal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,6178,700,0,0,,,,,6278,700,0,0,,,,,,,,,,losangeles56827,,,1179,1,0,0,0,,,,,,,,,1088,1,1,,,,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,6704,0,0,0,0,0,900,1500,6704,1,0,0,0,1,1326
8,Day 4,A13OOAT2ORKH6V,B Control,1826,1826,1826,0,0,0,,,0,0,357,357,0,0,0,1826,0,0,0,357,0,0,0,8104,700,0,0,8461,700,0,0,900,1500,1,,,,1000,0,0,0,1000,0,0,0,0,0,1000,0,"I felt that if I divided my points between fewer accounts I would generate more points than if I had deposited my points into many accounts. As for the points now or points later portion of the study, I found more success picking the choice that guaranteed me points. I didn't want to leave any points on the table and take any chances.",Extremely important,Extremely important,Extremely important,"During the points now or points later portion of the study I would have made the decision to pick guaranteed points or money much earlier. I feel my earnings would look a bit different, but not by much.",Male,34,New York,Hispanic,College graduate with Bachelor's Degree (4 year),College or more,No,Yes,A great deal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8104,700,0,0,,,,,8461,700,0,0,,,,,9161,1762,10923,21.85000038,4.480000019,losangeles56827,,,2366,1,0,0,0,,,,,,2,3,1,1826,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,6704,0,0,0,0,0,900,1500,6704,1,0,0,0,1,1762
8,Day 1,A143XRCI1YXAFE,B Control,500,2000,1200,200,500,100,,,0,1500,100,100,0,0,0,1200,200,500,100,100,0,0,0,2300,900,500,100,2400,900,500,100,0,1500,450,1,400,1,,,,,,,,,,,,,I wanted to maximize my earnings once I understood how everything worked. ,Not at all important,Extremely important,Extremely important,I would have dumped everything into my highest interest account instead of spreading it out.,Male,28,Rhode Island,White,College graduate with Bachelor's Degree (4 year),College or more,Yes,Yes,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,900,0,1,0,,2300,900,500,100,,,1400,1600,2400,900,500,100,,,1400,1600,,,,,,birmingham42536,,,894,1,0,900,0,,,No,900,1500,,,,2000,0.60000002,1,,,,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,3995,285,1500,200,0,0,0,1500,5980,0.66806018,0.047658864,0.25083613,0.033444814,1,785
8,Day 2,A143XRCI1YXAFE,B Control,1285,1285,100,85,1000,100,,,0,0,100,100,0,0,0,100,85,1000,100,100,0,0,0,2500,985,1500,200,2600,985,1500,200,0,1500,300,0.5,250,0.5,,,,,,,,,,,,,I wanted to maximize my earnings once I understood how everything worked. ,Not at all important,Extremely important,Extremely important,I would have dumped everything into my highest interest account instead of spreading it out.,Male,28,Rhode Island,White,College graduate with Bachelor's Degree (4 year),College or more,Yes,Yes,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,900,0,1,0,,2500,985,1500,200,,,,,2600,985,1500,200,,,,,,,,,,birmingham42536,,,748,1,0,900,0,,,,,,,,,1285,0.077821009,1,,,,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,3995,285,1500,200,0,0,0,1500,5980,0.66806018,0.047658864,0.25083613,0.033444814,1,989
